criterion,min_weight,max_weight
f1,0.308641975308642,0.3800836183960471
f2,0.23648648648648646,0.27932960893854747
slack_min,0.18283582089552236,0.2272727272727273
cost_var,0.16761687571265677,0.22222222222222227
