run,epsilon,f1,f2
0,0.030966409676735696,7587.570826430148,0.0313263091491075
0,0.029597581725460977,7745.820681280586,0.031191770054027845
0,0.028228753774186256,7520.6305382145,0.030496985386538
0,0.026859925822911537,7622.281136997328,0.023368440935388923
0,0.025491097871636816,7606.946763963669,0.030203018616975053
0,0.024122269920362097,7583.4914349700975,0.03058372699291423
0,0.02275344196908738,7562.723798825929,0.014866406132667542
0,0.021384614017812657,7723.954314462237,0.03115249157176858
0,0.020015786066537936,7572.658261792639,0.03127606094551061
0,0.018646958115263217,7483.1440511944975,0.030754941545429015
0,0.0172781301639885,7585.274479516437,0.03131542461529668
0,0.015909302212713777,7578.370877977288,0.030826877703356348
0,0.014540474261439059,7728.7020445318785,0.006156572249194747
0,0.013171646310164337,7545.194245568335,0.030972763631766376
0,0.011802818358889619,7633.394001635773,0.030873658584480768
0,0.010433990407614897,7731.408408950822,0.025721626873888126
0,0.009065162456340179,7618.099165674679,0.025495107088821523
0,0.007696334505065461,7586.695176525117,0.030390206741742976
1,0.030966409676735696,7598.9404036144015,0.031095930706907193
1,0.029597581725460977,7643.68009245431,0.030499159790063346
1,0.028228753774186256,7549.793049489133,0.030475898696724624
1,0.026859925822911537,7749.6541458938755,0.010538810647499397
1,0.025491097871636816,7522.348661210238,0.030718959369222754
1,0.024122269920362097,7566.765978350223,0.030496985386538
1,0.02275344196908738,7687.698693082167,0.030068954297738926
1,0.021384614017812657,7505.655156714455,0.03132544500684531
1,0.020015786066537936,7549.20283570073,0.031264391411432224
1,0.018646958115263217,7588.764290452665,0.030198334744926947
1,0.0172781301639885,7583.963164414849,0.03102859586547979
1,0.015909302212713777,7549.776460690679,0.031074257334807065
1,0.014540474261439059,7647.785668357166,0.030304182866768725
1,0.013171646310164337,7716.047638392702,0.03094486236520466
1,0.011802818358889619,7732.474430419382,0.017964743399107697
1,0.010433990407614897,7582.278459222537,0.015348128593143162
1,0.009065162456340179,7624.00392305944,0.03129980301358892
1,0.007696334505065461,7606.8483483604405,0.03125556101472249
2,0.030966409676735696,7664.391999306466,0.031202206271921606
2,0.029597581725460977,7708.090592525971,0.031336874323874
2,0.028228753774186256,7590.260625822448,0.030873085865282257
2,0.026859925822911537,7575.484364715048,0.030352441843523592
2,0.025491097871636816,7639.138466337539,0.03133961856212031
2,0.024122269920362097,7583.624537337234,0.03136509444150137
2,0.02275344196908738,7552.533895244763,0.03128386929469784
2,0.021384614017812657,7569.397414734689,0.029591904378221234
2,0.020015786066537936,7618.989286463032,0.02569377798409367
2,0.018646958115263217,7537.850283156937,0.030241446580912434
2,0.0172781301639885,7669.659567565273,0.030652839638153795
2,0.015909302212713777,7492.763923024434,0.030528605774785778
2,0.014540474261439059,7539.207521931295,0.031235391226553055
2,0.013171646310164337,7782.272349280209,0.009273175228666886
2,0.011802818358889619,7664.5284098920265,0.0133579712318882
2,0.010433990407614897,7625.595180327924,0.031049092336971285
2,0.009065162456340179,7550.1932634940895,0.031173945055144037
2,0.007696334505065461,7668.54178729505,0.031321249843054844
3,0.030966409676735696,7596.630073341132,0.031226594646975525
3,0.029597581725460977,7620.793057120833,0.031116578724130095
3,0.028228753774186256,7559.387671281043,0.031217542065749893
3,0.026859925822911537,7644.743916850897,0.030499186315491977
3,0.025491097871636816,7560.787257798409,0.03027382785990862
3,0.024122269920362097,7634.511766462616,0.016951502322614997
3,0.02275344196908738,7576.9101869814685,0.03091248405704461
3,0.021384614017812657,7505.575091894514,0.031076239215497403
3,0.020015786066537936,7649.019896162548,0.029665435927642148
3,0.018646958115263217,7585.906116000184,0.031372026615468895
3,0.0172781301639885,7573.859498144702,0.030700038572929356
3,0.015909302212713777,7552.025147539551,0.031021962246457147
3,0.014540474261439059,7627.82450421577,0.03081071940476976
3,0.013171646310164337,7501.402454409568,0.0308971129353095
3,0.011802818358889619,7671.6377153322255,0.031050372240601476
3,0.010433990407614897,7600.894614279576,0.019775311627899583
3,0.009065162456340179,7511.142006259149,0.031043568561283652
3,0.007696334505065461,7489.394344687618,0.030466107800535824
